Sienna	                rgb(160, 82, 45)
#A0522D	               
Brown	                rgb(165, 42, 42)
#A52A2A	               
Maroon	                rgb(128, 0, 0)
#800000	               
White	                rgb(255, 255, 255)
#FFFFFF	               
#FFFAFA	               
HoneyDew	                rgb(240, 255, 240)
#F0FFF0	               
MintCream	                rgb(245, 255, 250)
#F5FFFA	               
Azure	                rgb(240, 255, 255)
#F0FFFF	               
AliceBlue	                rgb(240, 248, 255)
#F0F8FF	               
GhostWhite	                rgb(248, 248, 255)
#F8F8FF	               
WhiteSmoke	                rgb(245, 245, 245)
#F5F5F5	               
SeaShell	                rgb(255, 245, 238)
#FFF5EE	               
Beige	                rgb(245, 245, 220)
#F5F5DC	               
OldLace	                rgb(253, 245, 230)
#FDF5E6	               
FloralWhite	                rgb(255, 250, 240)
#FFFAF0	               
Ivory	                rgb(255, 255, 240)
#FFFFF0	               
AntiqueWhite	                rgb(250, 235, 215)
#FAEBD7	               
Linen	                rgb(250, 240, 230)
#FAF0E6	               
LavenderBlush	                rgb(255, 240, 245)
#FFF0F5	               
MistyRose	                rgb(255, 228, 225)
#FFE4E1	               
